height,length,class
24.517030548294244,43.25775628646939,1
34.25068659813938,51.04332369893194,0
22.846521703947207,47.07739424546769,2
23.79027803123276,37.24144876408685,1
37.40499369567763,50.43020645009574,0
22.550658502744717,50.3579505323203,2
21.849207811784805,42.664771627519436,1
39.097989973980575,50.32938154667428,0
26.05478580301961,45.91680678082044,2
18.913755069778894,39.236471504502646,1
37.184687075470805,53.26771758957015,0
26.66994923605065,42.9247859146346,1
21.009343961871906,41.31272240571473,1
38.709862815174574,46.89350491239664,0
26.959753490614695,51.75479808571197,2
21.505355132405104,39.278280448844306,1
36.98774740117707,46.57087207991211,0
26.416929801088234,49.71540551310295,2
20.897314828711202,39.896039215482304,1
37.90873126943821,49.427336541244706,0
26.388834372694525,47.06372271134276,2
22.066313895224404,39.78357644880005,1
35.9003903484127,51.79633298443382,0
27.74103455494824,47.93706076242393,2
22.644263374211064,39.82653817007069,1
38.48627349755707,48.94442101713282,0
24.09315936073731,47.91614346337357,2
25.37945671360417,40.656747231932826,1
41.95012326614107,52.968022978100855,0
28.814245291694473,48.74199345900354,2
21.175534411447728,40.41769954113451,1
38.646621427328576,51.73310290620244,0
26.458182425553503,46.52056424822668,2
18.540974590263488,44.31859508121844,1
40.082148427071886,45.47088880461376,0
25.921190916451145,51.99729801245132,2
23.99178767979984,38.350627515359854,1
37.691009562854966,48.05667626909826,0
27.48670950370791,49.28029715281163,2
22.067102483081488,38.08675245038818,1
35.65861729134289,52.056820739030705,0
24.27036774516402,49.87644532794478,2
20.68550355499847,37.49840486022628,1
38.974261186666915,50.4178394090551,0
28.43679929952378,48.30942658800925,2
23.364704499957508,42.42115476745226,1
38.61033566913454,48.07466446966167,0
26.48984705005487,49.103867171181335,2
19.10627673329423,39.66001717182346,1
41.92863296347403,53.76110648112006,0
26.64593529186463,48.94090857020594,2
26.443426675419698,43.335496343692256,2
38.47893172438214,49.72936568835904,0
23.12304203257892,45.69264985291615,2
23.40883887306153,41.64476370886542,1
38.90084417557773,53.14475513725181,0
26.62688682438711,47.09935357339219,2
22.480790454331313,42.086995108876735,1
38.440777801018015,53.1113197185807,0
29.28275874571468,44.76261219256121,2
23.864629646217118,41.70256161462429,1
40.4160870406506,49.522228802589595,0
21.691340618287224,48.200065891564705,2
22.143315683770425,41.63129485566635,1
38.47974881626927,49.247033372208456,0
24.61020588207312,51.88976685286277,2
20.563199527193287,41.18847355998495,1
38.64400766583947,49.90898710327413,0
29.845818107372324,45.457893581104,2
19.953274853725752,40.876748081210415,1
37.49682295034967,49.83615615638757,0
23.549120715926712,49.460173232741276,2
24.061116271606494,41.243730355976865,1
39.44178537053586,51.40751530561302,0
27.76349569835143,45.76295443086422,2
25.717926749477417,39.98046789203457,1
37.42513776782914,50.10550792538441,0
19.227381610133694,47.554023080499405,2
24.201909074685865,40.41858378615562,1
37.75124405497617,53.153041070288594,0
25.194629011067793,49.09207686562546,2
22.39605963116257,41.2703234606473,1
37.20813002435765,52.157816087933895,0
24.86371604337955,48.362096341752796,2
25.468044998763936,42.63766083445796,1
35.502796069600436,51.49835522140112,0
25.06442267157601,46.60401528560227,2
22.5598402316226,40.899066811902784,1
37.03013536209855,52.34132375193844,0
27.317847441538547,48.38201973545288,2
21.173954402097134,39.12084920389901,1
37.89530661217925,48.617718607341224,0
25.522864811886237,44.131950361941946,2
25.89933617433447,40.173800386669626,1
38.9118069899026,51.48021686191236,0
24.189756154714676,46.070811505377314,2
26.937541698948433,39.93072573405202,1
37.60471597755684,48.65984053392288,0
26.285908717972088,48.77028044715751,2
23.575760527812033,40.6821333908638,1
42.708317175833,50.21794748700932,0
27.74859449709663,48.533542933314216,2
24.573385114427207,41.67043393519815,1
35.84738577777741,49.32596355561411,0
26.297902494583397,50.1463745534611,2
20.733848321625317,41.60984054671404,1
38.73883333877301,51.486316475976466,0
23.73311253529781,49.798809869706304,2
22.25455111544258,42.38981983561474,1
36.20470970210657,49.9102278265603,0
25.580512261646174,47.273780857424214,2
22.519385425164092,41.37105435472379,1
38.7690071971347,50.83769197323572,0
25.14251191553591,50.12776802454578,2
20.98965776132877,38.97652754999725,1
36.84454549337856,49.34368458270701,0
26.55477093864412,47.48618211662213,2
21.347410719420267,41.43759971545189,1
37.68573309597643,51.99203496830735,0
24.669281362955434,46.5185499129884,2
19.59575387387949,41.345387241651835,1
39.42469582429959,46.19405739193804,0
29.17711477274555,46.610651755107426,2
22.840604755381857,39.00482999127695,1
39.86383826790565,49.192979156175866,0
24.378264872622495,49.37353207502723,2
24.283994120320667,42.36921333628258,1
37.67042601259187,49.936423168568574,0
25.02907612554315,49.14899815294948,2
20.772709167198233,42.9773130459479,1
36.73164152958908,49.77863285455377,0
21.682094568735106,49.247736249591426,2
22.37865495996833,38.581072771242646,1
38.88353362157743,44.252884225242084,0
26.181157220832972,46.81163982038738,2
22.237477286687795,40.31752753283667,1
40.84105611651902,50.47819158631794,0
26.58679937475989,49.695387804273075,2
24.643300620353784,40.327674284246584,1
35.473539833705885,50.489255712491996,0
24.886649821081363,46.09080437106813,2
21.135360259596638,40.40188170348003,1
37.91848194395976,48.92946206514106,0
26.49873613730751,46.08070104423974,2
23.20681113884587,41.973925862063766,1
33.03112017806599,48.97898019719964,0
23.662087066358723,50.442719047601784,2
22.615317347608244,40.17555278420818,1
39.205807977654594,50.562474073029904,0
28.05862848372372,47.33390138035592,2
23.30649758719604,41.08808795126375,1
39.919847310489224,50.08896089525645,0
32.23703749072458,49.82931565920624,0
20.1974011571385,42.052377732142375,1
36.358807304375226,49.83300879936015,0
25.45617660767049,46.79723595295548,2
22.24442751103001,42.59204687391547,1
36.432329688208156,47.42317116877404,0
23.66776431339935,43.29859199564449,1
21.24653959003501,41.729566339453775,1
38.792465703263126,50.65864099010591,0
23.630405558887894,49.45394970011648,2
21.66468779389335,41.19405508031566,1
36.959866939430576,49.24318928059151,0
22.78814687796593,51.24585779531152,2
20.89331513791339,41.28686247940245,1
38.2625181835596,46.58125849743581,0
25.73160097444793,45.56966593476535,2
24.563865716473632,41.90546248648623,1
35.59592601869975,45.834719389169436,0
25.87641895634175,50.44446831650043,2
22.46950228204121,37.74480647677453,1
36.57212811485915,49.504150101227296,0
24.923150764465916,43.85854783765516,1
24.24792831806415,43.416295075758754,1
37.52184685176293,54.1285878606209,0
26.73771108252301,49.621070421175205,2
23.386607215169942,39.408815819398555,1
37.76218562288888,52.43158613380012,0
23.357529054045727,46.26642772087569,2
22.67588475640038,39.6111249040904,1
41.149448664548125,50.21078975654298,0
28.74637192993466,46.592445474327334,2
20.564473344757168,40.308410289070125,1
35.855051821399485,48.22090028017782,0
24.583501708009045,48.975506859977024,2
23.354105950771547,41.28245508992283,1
37.71274023323587,50.397271361222245,0
25.262363496524433,47.65933997843467,2
19.86108162169288,42.63030699296595,1
40.02184067133541,52.867571803191176,0
24.632995239773834,47.91097219790027,2
24.041156945946998,39.53813121702095,1
36.94369355011081,52.795042484510674,0
25.564169961150434,44.07688133427,2
20.84661982417711,38.09749881598549,1
37.14154582235809,49.73527973556329,0
27.00153887238048,49.72407613410926,2
25.57850863633647,41.559713591408816,1
37.08477971080129,48.72466896669633,0
27.09180177658761,50.2135684773219,2
20.554865788057246,37.488535142333916,1
39.14364425781253,48.672206423134135,0
25.69658453880996,48.35887880236097,2
20.05426068219472,44.69992989557501,1
39.631291271817894,50.66299836278992,0
26.665657719140647,49.83518990796522,2
19.727835314367937,39.59847625582012,1
34.04637932002863,48.8874751254385,0
26.07779120743845,50.54715172241077,2
20.94364494077399,46.578774340080834,2
34.138801531798364,50.03301081222367,0
25.740630750730567,45.636542662603226,2
22.71536054143367,44.079244374617076,1
38.09084429580722,47.280511606710064,0
24.643134866722097,48.61566031902712,2
24.186992829122868,36.00523442282052,1
37.88269324563955,50.70628795477747,0
28.033534399921077,50.002136216260034,2
22.5309890826399,43.78583178267233,1
39.31122099823132,47.86534351665346,0
22.761135164577535,48.443230451288414,2
23.295792256283463,37.64646192883709,1
36.18358311979949,48.28719612041959,0
25.743367271922196,48.44270562762853,2
25.164621813412264,40.404838493919186,1
37.506462444707516,52.84009286119889,0
25.485768489659236,49.15134379929777,2
16.806790756684975,38.21968248559644,1
38.41039234156452,49.65599438101466,0
24.87540991326723,47.28455490811087,2
24.18812744900503,42.2157403228285,1
37.49875628996516,48.506581904391126,0
28.54504148422668,48.61408507933509,2
19.944749112646488,40.303417382906666,1
37.61245878028979,52.19423194425574,0
24.05757333917186,49.04179601466574,2
26.43128128758552,41.254805111221714,1
37.12570464643633,51.36920250489593,0
23.951412588823935,47.915250754034076,2
24.331611561789114,39.506105231175404,1
36.25609592500646,50.07991599423332,0
24.081192805654517,50.58062732561718,2
24.240372150988907,39.37967378629517,1
37.58523960020689,49.038657192233224,0
26.85396947633983,47.682445060370576,2
22.686564090734166,40.39041451164826,1
37.46119901065285,50.580982355332225,0
27.726150537411932,48.10400902960845,2
19.297662139169795,42.36139016061781,1
33.411432907865276,47.24329265236033,0
25.62887341089959,49.71835869396396,2
22.98588330340253,40.131384902234686,1
37.290495913812215,49.43295113586754,0
26.48829595653354,51.87532123783882,2
23.46037792714285,40.676453254441,1
39.9999891396786,48.81737914036944,0
26.79609944984401,45.01655043380239,2
18.60829712291447,43.54817812624801,1
36.74981432685282,51.44995304361658,0
27.110470726413322,48.71923112654103,2
24.577061908264948,42.100322830408714,1
38.85479711941495,50.37792163075989,0
20.347026817966427,48.34711416198999,2
23.03137988629644,38.942015489554,1
40.44853415992691,48.76787672625062,0
25.49238772513705,47.77596162383936,2
25.34054866817334,43.732110000413854,1
38.33355895129458,51.01518483419906,0
27.390101281649972,50.310577557501176,2
22.12008814202686,40.99809018241435,1
36.61573607269265,52.61521147431277,0
22.52456855059932,48.49207394584792,2
21.378262949605993,39.36445251595557,1
38.19496731152888,48.65145696163205,0
25.585374869725026,45.232984357749714,2
22.546564032480013,40.32800147670498,1
38.257907970877355,48.98542258380685,0
22.84826996697031,46.57958780290965,2
22.9715363130162,40.30425683618596,1
38.35736153341304,50.3921005257972,0
24.391390216843636,49.53635712451062,2
24.316303515563956,38.02491970305773,1
38.582370696924606,48.38010124223158,0
25.298953530919903,48.13798389525694,2
20.717276368866827,41.20072677184352,1
38.15607861032261,48.231039304451954,0
23.451587825798565,47.86798599471989,2
23.207604386663288,39.153057006923696,1
33.57072158308033,48.41649779330051,0
22.503448053451578,47.056214301982685,2
19.98445355483083,39.67569221202477,1
38.380899873129664,52.368675958846424,0
27.6458496682165,44.42902561984742,2
22.06628815044582,41.7158101720376,1
39.235045089042615,50.83191412763339,0
26.186866875756817,49.41396058769948,2
23.50592635759698,42.90000428180786,1
34.553173425781864,50.865175496448494,0
26.67021988485204,52.78063203750313,2
23.706523548877616,40.51889870096062,1
35.93276131420449,48.806221046802605,0
25.764207988183223,43.64084858478809,2
21.620678100953402,42.822774851004475,1
39.4920915962473,51.82129854626988,0
25.42064848219003,50.61614232416471,2
22.4232674092632,37.521427930237294,1
41.568360417989346,48.51443844404198,0
22.25431566447178,48.559872751862684,2
21.83665516395828,40.15159938561048,1
36.79268757838428,49.45972013658855,0
27.08799057533445,50.39965467336691,2
24.3328618325137,40.66290930694658,1
36.68004077606856,50.06042458280638,0
23.82658801052455,48.2211314476226,2
24.446329385275433,44.073515046736894,1
35.219989848480054,48.794583103195045,0
24.956334618890732,48.165839858136984,2
19.582645090350617,38.980549933508364,1
37.11106666662397,52.002490547865,0
26.568869093245212,50.961804183785354,2
20.452212582394665,41.228949695232735,1
35.60711518492525,51.3440874583418,0
26.276065100395066,49.848093815342914,2
24.808416893902447,40.91776197361015,1
36.30863310487773,52.20427382981353,0
25.2269648884731,47.29009753027897,2
21.365475508106154,40.14522664598415,1
38.730444392450785,50.7561172711577,0
25.077651727233754,45.59610400088692,2
22.097698702434563,39.181370631924295,1
36.12526937646337,49.26365061719658,0
21.321101656340044,48.34133081108709,2
22.370210551816054,40.42594381006938,1
39.8752178617589,49.81381182969757,0
25.457083020459933,49.90025267236918,2
22.84462117970011,40.08518592357709,1
39.314878261779356,51.854097328091676,0
26.47541932636386,47.7443536039048,2
21.90897079706753,40.3252343062488,1
36.40641840163513,51.478086158944855,0
27.758990933260925,48.635179534328095,2
22.563452644446272,41.74080288785582,1
39.53450888493194,49.15152195225864,0
27.288608477592334,47.30922117373906,2
22.477095167307468,39.25160830714623,1
35.705802497288595,49.675518787156356,0
25.89694596199012,41.00993356481558,1
21.44385875654988,42.902426552006105,1
37.264859490126256,48.84276336132388,0
24.84485161972778,49.66842415287184,2
20.707193967415673,38.73243351463121,1
38.29497429318915,48.96052046588194,0
26.93748518018554,45.93394991839131,2
23.53085396826438,41.418785638752496,1
34.32002010048694,49.286090088045604,0
25.516071792233436,47.18549324170381,2
24.433461319523396,40.52336112378938,1
39.22813428972543,48.794360699671216,0
26.401220894316584,49.61451661845164,2
20.725673508489184,37.70734878549439,1
36.27086612961562,52.703776534984456,0
26.75363931889324,50.02950798495235,2
23.629970174735167,41.295968024524335,1
39.36852180083954,52.4836025743381,0
27.132778530063327,47.274376083556504,2
19.045868992772444,39.656213057626296,1
38.43479879536196,46.51331540136662,0
25.005026920355572,46.2952867926057,2
