height,length
24.517030548294244,43.25775628646939
34.25068659813938,51.04332369893194
22.846521703947207,47.07739424546769
23.79027803123276,37.24144876408685
37.40499369567763,50.43020645009574
22.550658502744717,50.3579505323203
21.849207811784805,42.664771627519436
39.097989973980575,50.32938154667428
26.05478580301961,45.91680678082044
18.913755069778894,39.236471504502646
37.184687075470805,53.26771758957015
26.66994923605065,42.9247859146346
21.009343961871906,41.31272240571473
38.709862815174574,46.89350491239664
26.959753490614695,51.75479808571197
21.505355132405104,39.278280448844306
36.98774740117707,46.57087207991211
26.416929801088234,49.71540551310295
20.897314828711202,39.896039215482304
37.90873126943821,49.427336541244706
26.388834372694525,47.06372271134276
22.066313895224404,39.78357644880005
35.9003903484127,51.79633298443382
27.74103455494824,47.93706076242393
22.644263374211064,39.82653817007069
38.48627349755707,48.94442101713282
24.09315936073731,47.91614346337357
25.37945671360417,40.656747231932826
41.95012326614107,52.968022978100855
28.814245291694473,48.74199345900354
21.175534411447728,40.41769954113451
38.646621427328576,51.73310290620244
26.458182425553503,46.52056424822668
18.540974590263488,44.31859508121844
40.082148427071886,45.47088880461376
25.921190916451145,51.99729801245132
23.99178767979984,38.350627515359854
37.691009562854966,48.05667626909826
27.48670950370791,49.28029715281163
22.067102483081488,38.08675245038818
35.65861729134289,52.056820739030705
24.27036774516402,49.87644532794478
20.68550355499847,37.49840486022628
38.974261186666915,50.4178394090551
28.43679929952378,48.30942658800925
23.364704499957508,42.42115476745226
38.61033566913454,48.07466446966167
26.48984705005487,49.103867171181335
19.10627673329423,39.66001717182346
41.92863296347403,53.76110648112006
26.64593529186463,48.94090857020594
26.443426675419698,43.335496343692256
38.47893172438214,49.72936568835904
23.12304203257892,45.69264985291615
23.40883887306153,41.64476370886542
38.90084417557773,53.14475513725181
26.62688682438711,47.09935357339219
22.480790454331313,42.086995108876735
38.440777801018015,53.1113197185807
29.28275874571468,44.76261219256121
23.864629646217118,41.70256161462429
40.4160870406506,49.522228802589595
21.691340618287224,48.200065891564705
